product_manufacturing_country,product_price_usd,warranty_period_months,customer_review_count,customer_average_rating,material_quality_score,supplier_reliability_rating,product_age_days,market_demand_index,predicted_defect_probability_percent,predicted_return_rate_percent
China,104.04520357503893,4.0,1912.0,2.7556433112361627,1.0,0.6926754398992803,96.0,2.0,67.26539960052614,71.4722921937842
India,263.9661590062595,58.0,262.0,1.712744633539729,3.0,3.7555066677268623,1229.0,14.0,54.8265233035215,89.54158199623731
India,110.39474205896995,1.0,4606.0,4.504425543768047,1.0,1.5610125332078884,319.0,96.0,25.601288840610263,48.091104756040025
Germany,106.0893196743419,48.0,4498.0,3.9952854956789414,2.0,2.6448148488815173,1078.0,15.0,26.55863402752961,70.36622676467898
India,79.24789732471946,44.0,2937.0,2.901131545724867,1.0,1.6437565681679165,1140.0,95.0,49.1050535179009,80.99352383488433
India,421.7428500914359,13.0,2885.0,1.6034007505313848,1.0,0.5452844967473409,702.0,71.0,85.78191059046763,87.58622122330115
USA,448.7419134392516,11.0,4089.0,3.555888811117561,2.0,1.629773886419171,609.0,0.0,49.8863908665012,65.30011021463899
Mexico,232.7419748578871,38.0,4562.0,1.7537711505260245,3.0,2.5296574877174973,95.0,45.0,60.5839106803906,87.54529007802297
Vietnam,65.2000125162298,6.0,798.0,4.209861796161482,3.0,4.654478664742081,246.0,37.0,7.152366937076426,33.53532711465732
USA,64.61990123680178,13.0,933.0,4.659643324329924,1.0,1.4436764967404707,1101.0,19.0,26.418930521111708,45.430517031289654
China,39.356966181631606,16.0,3178.0,3.845378294088981,3.0,2.765409085177352,745.0,9.0,35.23327837054501,60.009315118865565
India,245.12721932998105,51.0,4282.0,3.243552450364326,5.0,2.990601129753375,758.0,12.0,44.894920150948465,71.12817340728162
Germany,169.00890953150812,58.0,4679.0,3.718547158475917,5.0,3.295083244092422,938.0,75.0,26.368655345335227,60.28095864995045
Germany,110.12239743030716,6.0,2187.0,4.68048256413081,2.0,3.1915186470929098,134.0,38.0,8.436665083351821,40.70079683954586
Mexico,335.507784127365,3.0,2701.0,1.9599167950663965,4.0,1.164693257939043,203.0,86.0,74.04740479753073,85.98137484192148
Vietnam,208.0077873318291,9.0,1210.0,1.16397595034017,3.0,2.5519478069675468,425.0,1.0,70.97936505866652,67.52786791947752
USA,347.2993665393947,49.0,2334.0,1.7677988844295842,4.0,3.037704007300406,586.0,10.0,68.99857220200468,97.56824689939236
