product_manufacturing_country,product_price_usd,warranty_period_months,customer_review_count,customer_average_rating,material_quality_score,supplier_reliability_rating,product_age_days,market_demand_index,predicted_defect_probability_percent,predicted_return_rate_percent
INDIA,213.70667064696988,33.0,3498.0,4.350547974178912,5.0,2.657307154155232,1019.0,33.0,25.80320226417108,56.026390563612274
MEXICO,301.3532424349992,30.0,4421.0,4.0759968654619945,2.0,3.556975189373964,689.0,73.0,21.491622162320656,48.61055742926685
MEXICO,84.9679354723055,6.0,3052.0,4.730153787916833,1.0,4.161830944300552,745.0,81.0,0.0,25.371268220702795
MEXICO,240.0191083128896,56.0,704.0,1.2334157806409864,2.0,4.434979801569574,902.0,98.0,50.91251329871047,95.53342074423648
CHINA,348.5497327511061,50.0,2333.0,3.836957108747001,1.0,2.9837387424625432,233.0,96.0,30.185578688282124,64.42150851004308
VIETNAM,401.6490657571484,1.0,2463.0,4.288391845079731,4.0,4.314021318485397,133.0,33.0,9.996787890573689,24.945814353224037
VIETNAM,251.729875630308,5.0,4819.0,4.068318633926024,3.0,4.956289570304645,786.0,1.0,10.854290654835676,25.93044698997008
VIETNAM,90.96656620309643,43.0,950.0,4.087671276916266,2.0,3.47854713750849,161.0,18.0,13.592077874831878,49.29700326694815
MEXICO,213.19697772822147,33.0,1825.0,1.8945828983426911,5.0,1.359361817561295,965.0,60.0,72.80303690967465,90.81005230050172
INDIA,395.2840251324321,16.0,4079.0,1.3473947749179578,1.0,2.9001596532957223,917.0,99.0,67.38600114039936,78.4077195869322
GERMANY,351.30008886606896,11.0,4974.0,3.5267781913541847,5.0,4.0074370816044445,227.0,79.0,23.17620346059021,40.57325846473703
CHINA,128.19933130360437,40.0,1254.0,2.409961983624381,3.0,2.669992346383648,511.0,3.0,50.801204182923136,77.86714390836634
INDIA,400.1137489313064,57.0,3608.0,4.295757713514545,3.0,4.687785051029466,213.0,13.0,16.156452804273385,52.229084286647314
GERMANY,51.264592494636645,45.0,881.0,3.006275100781424,2.0,4.31826684009301,243.0,26.0,36.698269182816446,64.02495904339013
CHINA,112.35660677926842,34.0,4897.0,1.9077447762170423,4.0,2.2200149887162297,1322.0,95.0,61.18223814603165,79.89745585958599
INDIA,42.86215798527408,53.0,3947.0,4.060112966725585,1.0,1.966119324576214,1094.0,37.0,26.594236058754397,71.14835737330459
INDIA,356.38144182110324,37.0,1607.0,4.143644450930259,4.0,3.041531895432068,423.0,67.0,22.302250334625526,65.06935801225691
CHINA,374.9278395954334,30.0,352.0,4.125033548087544,3.0,1.9625663268634628,581.0,19.0,36.93650064868336,70.72546971686108
MEXICO,210.68377912921,12.0,1096.0,2.7025261881643226,1.0,4.331238535938482,805.0,93.0,38.399462273233866,54.2670656764808
INDIA,319.5279957410157,25.0,4117.0,1.1241767851068114,4.0,2.95297313610192,1193.0,9.0,71.02606721992673,85.90737284403185
USA,292.70316889554056,21.0,712.0,3.8879457880681945,5.0,3.6642775821264606,727.0,48.0,19.13588345198836,54.89886450964661
USA,216.5652604972906,7.0,30.0,4.115720423617502,3.0,3.631857753530486,813.0,52.0,17.91786833410827,31.69425915812314
CHINA,104.5179344038749,4.0,3949.0,1.5441418007669985,4.0,4.30118150746048,948.0,53.0,57.015701300187885,57.86770112762759
INDIA,453.8283269349079,51.0,3149.0,4.949788172313767,1.0,4.871805316472174,1019.0,73.0,1.3179483866634438,44.2298942441522
INDIA,36.1932018517672,0.0,3514.0,2.024619280956857,2.0,3.014115259536305,265.0,86.0,56.06960553513935,64.040554877664
GERMANY,161.11071432181373,44.0,1460.0,4.354371474010552,3.0,2.820470242704459,1228.0,16.0,8.109623505076886,64.17345798566761
GERMANY,151.19117181964884,53.0,2018.0,1.3055557997038203,1.0,1.0375363536209277,976.0,25.0,83.10131378094883,100.0
GERMANY,316.9189028616438,39.0,2773.0,1.7635378713889571,1.0,3.0157066108703035,67.0,67.0,62.10530100250897,74.73125441537113
INDIA,442.35032980147935,51.0,4466.0,1.167844209228727,1.0,4.057766867261424,491.0,91.0,57.096037381885154,92.88508791881424
INDIA,415.99019014787024,31.0,3653.0,1.028634077736486,5.0,2.83654663499677,1033.0,14.0,80.33084613281706,93.20827134763124
USA,329.5122516457861,6.0,96.0,3.4623386761367927,5.0,3.725260892223525,361.0,84.0,29.082486067807277,48.71202824736551
VIETNAM,234.6227775781769,50.0,884.0,3.6956525323558047,1.0,2.646602546192276,719.0,57.0,31.671357972528934,60.93189743337688
MEXICO,467.1484606496184,28.0,529.0,3.83674020601273,4.0,3.8290029901056206,1058.0,68.0,23.7039882767856,52.7999469183643
VIETNAM,417.0658118130724,29.0,3719.0,4.455781429366121,3.0,2.980683543296538,162.0,88.0,22.56385477070636,47.46007742510666
MEXICO,254.66442255981,20.0,3718.0,2.267985780381222,5.0,2.9005487714232725,1051.0,51.0,55.85644147786578,76.14580222758124
USA,353.9179436826125,38.0,4745.0,1.3468225965144671,2.0,2.170276631964727,1121.0,95.0,71.19176059752698,89.10396560769165
CHINA,287.79567656804545,47.0,3667.0,2.590818419193663,3.0,1.786127962280761,1311.0,29.0,59.99224558458514,86.88043908214918
INDIA,298.09169681024963,43.0,4338.0,2.017227134454017,1.0,3.946412701522589,955.0,67.0,48.65923767528985,78.90293558082676
USA,172.17827402436092,42.0,412.0,4.833287259101448,1.0,3.697238739094048,1037.0,57.0,10.072226959833545,35.46280439631249
INDIA,236.4214562661994,56.0,2269.0,1.803291477153559,5.0,4.555505984324536,517.0,68.0,52.81604169019426,91.31674466369702
GERMANY,48.27950108697466,40.0,1054.0,3.799570669169654,4.0,4.040488484705286,543.0,59.0,16.31147918102515,54.73725814145289
CHINA,350.95597252745443,19.0,3703.0,3.677660717293757,3.0,4.793536115628891,172.0,26.0,25.95716352606643,23.79926816793908
USA,477.0758549480313,21.0,871.0,1.2655770978078116,5.0,3.873159721556573,727.0,47.0,69.3584971616677,81.42294879709837
