product_manufacturing_country,product_price_usd,warranty_period_months,customer_review_count,customer_average_rating,material_quality_score,supplier_reliability_rating,product_age_days,market_demand_index,predicted_defect_probability_percent,predicted_return_rate_percent
India,213.70667064696988,33.0,3498.0,4.350547974178912,5.0,2.6573071541552316,1019.0,33.0,25.80320226417108,56.026390563612274
Mexico,301.3532424349992,30.0,4421.0,4.0759968654619945,2.0,3.556975189373964,689.0,73.0,21.491622162320656,48.61055742926685
VieInam,215.7930412434156,44.0,2056.0,1.0444384438318015,2.0,2.8046268587581746,1096.0,42.0,69.67622594045594,97.42435020265367
Mexico,84.9679354723055,6.0,3052.0,4.730153787916833,1.0,4.161830944300552,745.0,81.0,0.0,25.371268220702795
Mexico,240.0191083128896,56.0,704.0,1.2334157806409864,2.0,4.434979801569574,902.0,98.0,50.91251329871047,95.53342074423648
China,348.5497327511061,50.0,2333.0,3.836957108747001,1.0,2.9837387424625432,233.0,96.0,30.185578688282124,64.42150851004308
Vietnam,401.64906575714843,1.0,2463.0,4.288391845079731,4.0,4.314021318485397,133.0,33.0,9.996787890573689,24.945814353224034
Vietnam,251.72987563030796,5.0,4819.0,4.068318633926024,3.0,4.956289570304645,786.0,1.0,10.854290654835676,25.930446989970076
Vietnam,90.96656620309645,43.0,950.0,4.087671276916266,2.0,3.47854713750849,161.0,18.0,13.592077874831878,49.29700326694815
Mexico,213.19697772822147,33.0,1825.0,1.8945828983426911,5.0,1.359361817561295,965.0,60.0,72.80303690967465,90.81005230050171
India,395.28402513243213,16.0,4079.0,1.3473947749179578,1.0,2.9001596532957223,917.0,99.0,67.38600114039936,78.4077195869322
Vietnam,212.3010426023657,25.0,2387.0,2.8936881643234154,1.0,0.775059736636325,62.0,91.0,57.488703457873704,79.29688966510108
Germany,351.30008886606896,11.0,4974.0,3.5267781913541847,5.0,4.0074370816044445,227.0,79.0,23.176203460590212,40.57325846473703
Mexico,258.534704022264,19.0,185.0,4.297553028553349,4.0,0.6908664066832058,760.0,70.0,35.89080989182149,58.91637526257703
China,128.19933130360437,40.0,1254.0,2.4099619836243815,3.0,2.6699923463836477,511.0,3.0,50.801204182923136,77.86714390836634
India,400.1137489313064,57.0,3608.0,4.295757713514545,3.0,4.687785051029466,213.0,13.0,16.156452804273385,52.229084286647314
Germany,51.264592494636645,45.0,881.0,3.006275100781424,2.0,4.31826684009301,243.0,26.0,36.698269182816446,64.02495904339013
Germany,267.1962385500238,34.0,775.0,4.144622251171532,4.0,0.7241555702137294,1219.0,82.0,42.85471020440366,68.44083120461367
China,112.35660677926842,34.0,4897.0,1.9077447762170423,4.0,2.2200149887162297,1322.0,95.0,61.182238146031644,79.89745585958599
India,42.862157985274074,53.0,3947.0,4.060112966725585,1.0,1.966119324576214,1094.0,37.0,26.594236058754394,71.14835737330459
Mexico,256.4376291707919,28.0,4757.0,1.8509418633996257,2.0,0.8198607542539864,384.0,15.0,78.57236867769006,86.20199329063257
USA,254.78545640811257,47.0,4285.0,1.3240006364603514,5.0,0.9981861124412285,1412.0,23.0,84.74896146552211,100.0
India,356.38144182110324,37.0,1607.0,4.143644450930259,4.0,3.041531895432068,423.0,67.0,22.302250334625526,65.06935801225691
China,374.9278395954334,30.0,352.0,4.1250335480875435,3.0,1.9625663268634628,581.0,19.0,36.936500648683364,70.72546971686108
Germany,366.61782945951944,39.0,2086.0,1.4407685070042309,4.0,0.6945388768573231,369.0,78.0,77.6969759803848,100.0
Mexico,210.68377912920997,12.0,1096.0,2.7025261881643226,1.0,4.331238535938482,805.0,93.0,38.399462273233866,54.2670656764808
India,319.5279957410157,25.0,4117.0,1.1241767851068114,4.0,2.9529731361019196,1193.0,9.0,71.02606721992673,85.90737284403185
USA,292.70316889554056,21.0,712.0,3.8879457880681945,5.0,3.6642775821264606,727.0,48.0,19.135883451988356,54.898864509646614
USA,216.5652604972906,7.0,30.0,4.115720423617502,3.0,3.631857753530486,813.0,52.0,17.91786833410827,31.69425915812314
Vietnam,302.6342201511367,39.0,3361.0,3.6846105305445507,2.0,0.8583312461495733,1345.0,43.0,49.83329363331353,69.24760239323602
Vietnam,474.15145958606865,6.0,2883.0,3.1069340962455816,2.0,0.5194665090331445,216.0,57.0,71.6399271836571,68.23727884544483
China,104.5179344038749,4.0,3949.0,1.5441418007669983,4.0,4.3011815074604804,948.0,53.0,57.015701300187885,57.86770112762759
India,453.82832693490786,51.0,3149.0,4.949788172313767,1.0,4.871805316472174,1019.0,73.0,1.3179483866634438,44.2298942441522
India,36.1932018517672,0.0,3514.0,2.024619280956857,2.0,3.014115259536305,265.0,86.0,56.06960553513935,64.040554877664
Germany,161.11071432181373,44.0,1460.0,4.354371474010552,3.0,2.820470242704459,1228.0,16.0,8.109623505076886,64.17345798566761
Germany,151.19117181964884,53.0,2018.0,1.3055557997038205,1.0,1.0375363536209277,976.0,25.0,83.10131378094883,100.0
