product_manufacturing_country,product_price_usd,warranty_period_months,customer_review_count,customer_average_rating,material_quality_score,supplier_reliability_rating,product_age_days,market_demand_index,predicted_return_rate_percent,predicted_defect_probability_percent
India,213.70667064696988,33.0,3498.0,4.350547974178912,5.0,2.6573071541552316,1019.0,33.0,57.00447622151034,24.988130882589363
Mexico,301.3532424349992,30.0,4421.0,4.0759968654619945,2.0,3.556975189373964,689.0,73.0,49.81856065086305,20.484952810990485
VieInam,215.7930412434156,44.0,2056.0,1.0444384438318015,2.0,2.8046268587581746,1096.0,42.0,95.7957254932254,71.03341319831283
Mexico,84.9679354723055,6.0,3052.0,4.730153787916833,1.0,4.161830944300552,745.0,81.0,21.736145818197045,1.70582045421262
Mexico,240.0191083128896,56.0,704.0,1.2334157806409864,2.0,4.434979801569574,902.0,98.0,85.7009793284396,59.106214478541204
China,348.5497327511061,50.0,2333.0,3.836957108747001,1.0,2.9837387424625432,233.0,96.0,65.62070296525917,29.186249975602053
Vietnam,401.64906575714843,1.0,2463.0,4.288391845079731,4.0,4.314021318485397,133.0,33.0,23.117395707542684,11.520470095308148
Vietnam,251.72987563030796,5.0,4819.0,4.068318633926024,3.0,4.956289570304645,786.0,1.0,30.736186027328284,6.849508123703834
Vietnam,90.96656620309645,43.0,950.0,4.087671276916266,2.0,3.47854713750849,161.0,18.0,51.6760932174521,11.60950291607859
Mexico,213.19697772822147,33.0,1825.0,1.8945828983426911,5.0,1.359361817561295,965.0,60.0,94.00811675940906,70.13798319391852
India,395.28402513243213,16.0,4079.0,1.3473947749179578,1.0,2.9001596532957223,917.0,99.0,76.90132816667318,68.64132732394854
Vietnam,212.3010426023657,25.0,2387.0,2.8936881643234154,1.0,0.775059736636325,62.0,91.0,75.54356316482293,60.61647554143883
Germany,351.30008886606896,11.0,4974.0,3.5267781913541847,5.0,4.0074370816044445,227.0,79.0,39.467684661823704,24.09751496301798
Mexico,258.534704022264,19.0,185.0,4.297553028553349,4.0,0.6908664066832058,760.0,70.0,53.636576209031084,40.29064243644311
China,128.19933130360437,40.0,1254.0,2.4099619836243815,3.0,2.6699923463836477,511.0,3.0,80.95640541694867,48.226819592437856
India,400.1137489313064,57.0,3608.0,4.295757713514545,3.0,4.687785051029466,213.0,13.0,59.935585855570054,9.734368163504435
Germany,51.264592494636645,45.0,881.0,3.006275100781424,2.0,4.31826684009301,243.0,26.0,77.89098402853185,25.14324836186502
Germany,267.1962385500238,34.0,775.0,4.144622251171532,4.0,0.7241555702137294,1219.0,82.0,68.48763607988245,42.815706141679684
China,112.35660677926842,34.0,4897.0,1.9077447762170423,4.0,2.2200149887162297,1322.0,95.0,86.1606498292162,55.96290983800647
India,42.862157985274074,53.0,3947.0,4.060112966725585,1.0,1.966119324576214,1094.0,37.0,67.82309884768658,29.365284830102734
Mexico,256.4376291707919,28.0,4757.0,1.8509418633996257,2.0,0.8198607542539864,384.0,15.0,95.18948920884117,71.08278874584957
USA,254.78545640811257,47.0,4285.0,1.3240006364603514,5.0,0.9981861124412285,1412.0,23.0,100.0,84.6230096285727
India,356.38144182110324,37.0,1607.0,4.143644450930259,4.0,3.041531895432068,423.0,67.0,51.52092732698115,33.592609239021996
China,374.9278395954334,30.0,352.0,4.1250335480875435,3.0,1.9625663268634628,581.0,19.0,61.140972693363366,44.92358150159813
Germany,366.61782945951944,39.0,2086.0,1.4407685070042309,4.0,0.6945388768573231,369.0,78.0,94.08249426814504,87.79615782751449
Mexico,210.68377912920997,12.0,1096.0,2.7025261881643226,1.0,4.331238535938482,805.0,93.0,57.83055988714407,35.42988376434781
India,319.5279957410157,25.0,4117.0,1.1241767851068114,4.0,2.9529731361019196,1193.0,9.0,86.43837276673547,70.58356728434039
USA,292.70316889554056,21.0,712.0,3.8879457880681945,5.0,3.6642775821264606,727.0,48.0,41.957258112957476,29.9205554492293
USA,216.5652604972906,7.0,30.0,4.115720423617502,3.0,3.631857753530486,813.0,52.0,36.57288620340971,13.85234579636946
Vietnam,302.6342201511367,39.0,3361.0,3.6846105305445507,2.0,0.8583312461495733,1345.0,43.0,76.23438674575472,44.010973339547945
Vietnam,474.15145958606865,6.0,2883.0,3.1069340962455816,2.0,0.5194665090331445,216.0,57.0,77.09996160031567,64.25435822126472
China,104.5179344038749,4.0,3949.0,1.5441418007669983,4.0,4.3011815074604804,948.0,53.0,71.65951536599218,45.52252276821739
India,453.82832693490786,51.0,3149.0,4.949788172313767,1.0,4.871805316472174,1019.0,73.0,42.426886390740776,2.8204549311729608
India,36.1932018517672,0.0,3514.0,2.024619280956857,2.0,3.014115259536305,265.0,86.0,68.41342041779666,52.425550918362134
Germany,161.11071432181373,44.0,1460.0,4.354371474010552,3.0,2.820470242704459,1228.0,16.0,43.1448127801681,25.633494509659815
Germany,151.19117181964884,53.0,2018.0,1.3055557997038205,1.0,1.0375363536209277,976.0,25.0,100.0,77.07421837309431
Germany,316.9189028616438,39.0,2773.0,1.7635378713889573,1.0,3.0157066108703035,67.0,67.0,86.85807856179817,51.99961421381978
Vietnam,74.30022637087225,10.0,4149.0,3.749343441171567,4.0,0.5951850015023803,882.0,81.0,60.77170665025532,41.51840890825328
India,442.35032980147935,51.0,4466.0,1.167844209228727,1.0,4.0577668672614235,491.0,91.0,84.01386292054016,64.48872488044687
